"animalFk","ownersFk"
1,571
2,285
3,450
4,865
4,462
5,30
6,720
7,526
8,90
9,390
9,685
10,437
11,443
12,79
13,73
14,882
15,755
15,864
16,629
17,82
18,409
18,744
18,570
19,431
20,133
21,289
22,58
22,924
23,14
23,606
24,817
25,445
25,133
26,625
27,269
28,836
29,557
29,401
30,40
31,288
32,446
33,532
33,85
34,171
35,130
35,290
35,476
36,898
36,990
37,145
38,414
39,107
40,190
40,398
41,799
41,570
41,835
42,486
43,849
44,947
44,758
44,153
45,61
46,80
47,278
47,851
48,334
49,745
50,410
51,84
52,825
52,385
53,411
54,987
55,957
56,653
57,827
57,349
57,667
58,883
59,125
59,552
60,209
61,615
62,763
62,449
63,243
64,318
65,783
66,678
66,750
67,947
68,30
68,906
68,12
69,440
70,476
71,699
72,687
73,270
74,696
74,434
75,709
75,945
76,710
77,110
78,577
79,834
80,831
81,943
82,764
83,830
83,483
84,917
85,284
86,3
87,137
88,386
89,402
90,780
91,916
92,562
93,53
94,830
95,695
96,53
96,50
97,756
98,167
99,491
99,83
100,964
101,645
102,206
103,100
104,789
105,456
106,160
107,175
108,364
108,797
109,755
110,742
111,501
112,364
113,182
114,744
115,582
116,211
117,26
117,144
118,844
119,669
120,226
120,421
121,875
122,244
123,396
123,903
123,716
123,841
124,678
125,894
126,898
126,617
127,339
128,663
129,868
130,650
131,749
131,622
132,875
132,884
133,454
134,267
135,849
136,946
136,961
137,584
138,494
139,732
140,702
140,403
141,72
142,218
143,835
144,39
144,283
145,198
146,100
147,905
148,422
149,69
149,349
150,68
151,102
152,389
153,672
154,608
155,388
156,390
157,319
158,471
159,965
160,89
161,544
162,142
162,986
163,90
164,683
165,526
166,155
167,815
168,502
169,189
170,461
170,941
171,604
171,157
172,761
173,303
174,313
175,865
176,621
176,379
177,543
177,929
178,424
179,910
180,742
181,527
181,793
181,355
182,768
182,510
182,222
183,190
184,691
184,55
184,326
185,162
185,497
186,591
187,278
188,762
189,839
189,713
190,504
191,166
192,702
193,400
194,863
195,522
195,392
196,283
196,469
196,794
197,970
198,686
199,662
200,735
200,473
201,384
202,74
203,88
203,204
204,292
205,668
206,770
207,330
208,49
208,977
209,245
209,704
210,150
211,64
211,318
212,465
213,456
214,580
215,850
215,437
216,552
217,769
218,551
219,281
219,54
220,146
221,143
221,337
221,199
222,306
223,50
224,316
225,95
226,617
227,751
228,993
229,624
229,699
230,396
231,528
232,740
233,647
234,794
235,490
236,388
237,556
238,407
239,156
240,863
240,573
241,274
242,753
243,115
244,237
244,702
245,534
246,538
246,797
247,678
248,799
249,413
250,294
251,14
252,51
253,700
254,539
255,605
255,863
256,226
257,160
258,537
259,239
260,374
261,308
262,198
263,554
263,247
263,675
264,694
265,328
265,573
266,340
266,42
267,858
268,953
269,418
270,28
270,510
271,823
272,863
273,443
274,83
275,190
276,248
277,874
278,49
279,530
280,868
280,813
280,436
281,821
282,739
282,316
283,402
283,858
284,266
285,693
286,366
287,65
287,885
287,379
288,924
289,194
290,732
290,593
291,371
292,948
293,883
294,634
295,24
295,221
296,690
297,996
298,750
299,896
300,208
301,901
301,751
302,241
302,883
303,650
304,480
305,799
306,400
307,25
308,594
309,380
310,841
310,133
311,691
312,274
313,319
314,763
315,805
316,338
317,693
318,443
319,812
320,58
321,878
322,575
323,570
324,423
325,319
326,602
327,339
327,360
327,708
327,485
327,88
328,270
329,424
330,112
331,647
332,635
333,999
334,148
335,893
336,811
337,105
338,113
338,685
338,1
339,521
340,877
341,936
342,267
343,76
344,632
344,509
345,240
346,965
347,985
348,327
349,562
349,118
349,292
350,753
