"animalFk","ownersFk"
1,670
2,977
3,325
4,702
5,708
6,915
6,492
7,564
8,836
9,842
10,523
11,711
12,143
13,28
14,838
15,659
16,401
17,89
18,662
18,239
19,378
19,845
20,218
21,210
22,436
23,871
24,186
25,969
25,127
25,956
25,297
26,244
27,552
28,940
29,515
30,896
31,659
31,986
32,345
32,867
33,216
33,802
34,985
35,587
36,15
36,660
37,941
37,356
37,454
38,959
39,757
40,989
41,935
42,66
42,556
43,597
44,406
44,243
45,697
46,598
47,161
48,230
49,892
50,140
50,69
50,583
51,523
52,323
53,12
54,442
55,349
56,812
57,705
57,611
58,14
59,325
60,421
61,855
62,15
63,297
64,809
64,881
65,638
66,266
67,81
68,723
69,586
70,278
71,907
72,764
73,62
74,831
75,55
75,898
76,766
76,672
77,921
78,644
79,629
79,627
80,457
81,33
82,592
82,422
83,178
84,485
85,354
86,469
86,318
87,816
87,811
88,436
89,583
90,799
91,903
92,396
93,773
94,133
95,403
96,548
97,345
98,528
99,916
100,546
101,708
102,930
103,798
104,285
105,262
106,436
107,85
108,752
109,512
109,786
110,325
111,312
112,940
113,973
114,943
115,743
116,765
117,194
118,391
119,467
119,909
120,873
121,488
122,461
123,101
124,61
125,4
126,887
127,771
127,972
128,4
128,866
129,367
130,131
131,705
132,465
133,771
134,856
135,816
135,591
136,480
136,2
137,465
138,589
138,617
138,798
139,701
139,503
140,246
141,677
142,818
143,739
144,629
145,282
146,210
147,882
147,191
148,209
148,679
148,461
149,334
150,230
151,881
152,580
153,973
154,554
155,76
156,909
157,480
158,241
158,457
159,730
160,120
160,602
161,181
161,880
162,21
163,360
163,106
164,294
165,594
165,509
166,925
167,220
168,57
169,498
170,123
171,634
172,417
172,802
173,474
173,896
174,703
175,446
176,621
177,926
178,397
179,384
180,35
181,107
182,399
183,804
184,932
185,514
185,886
185,133
186,908
186,442
187,886
187,583
188,897
189,739
189,98
190,199
191,900
192,554
192,607
193,909
194,594
195,237
195,596
196,405
196,877
197,334
198,643
199,535
200,141
201,466
201,523
201,345
202,822
202,255
203,607
204,892
205,655
206,494
207,261
208,947
209,781
210,435
210,950
211,804
212,276
212,557
212,299
212,942
213,286
214,722
215,93
216,468
217,402
217,13
217,592
218,166
219,454
220,800
221,519
222,974
223,918
224,803
225,97
226,807
227,593
228,446
229,415
230,926
231,961
232,66
233,96
233,793
234,56
235,690
236,701
237,205
238,728
239,987
239,762
239,194
240,380
241,634
242,471
242,843
243,932
244,604
245,110
246,152
246,916
247,723
248,171
249,258
250,341
251,427
252,331
252,542
253,931
254,30
254,841
255,649
256,317
256,467
256,965
257,131
258,80
259,987
260,178
261,194
262,792
263,231
264,882
265,972
266,777
266,52
267,460
268,433
269,516
269,751
270,832
271,13
272,591
273,168
274,155
275,928
275,209
276,85
277,42
277,739
278,247
278,656
279,546
280,209
281,463
282,817
283,611
284,682
285,599
286,209
286,120
287,764
288,468
289,474
290,267
291,648
291,992
292,215
293,123
293,741
294,12
294,514
295,454
296,705
297,612
298,972
299,51
300,993
301,704
302,903
303,548
304,743
305,816
305,358
306,926
307,905
308,338
309,386
310,362
310,850
311,247
311,32
311,831
312,580
313,190
314,119
315,743
315,545
316,965
317,311
318,872
318,539
319,568
319,732
320,342
321,785
322,70
323,921
323,46
324,157
324,424
325,972
326,788
326,963
326,674
327,920
328,795
329,921
330,540
330,293
331,565
331,642
331,932
332,320
333,473
334,348
335,926
336,411
336,870
337,487
337,374
337,503
337,367
338,360
338,479
339,351
340,962
341,613
342,29
343,877
343,540
344,217
344,585
344,724
345,323
346,438
347,317
348,866
349,349
349,139
350,849
351,46
352,566
353,371
354,713
355,964
356,431
357,87
357,574
358,787
359,702
359,884
360,10
361,704
362,69
363,761
363,581
363,132
364,661
365,91
365,814
366,260
367,15
368,897
369,92
370,457
371,433
372,984
373,515
374,383
375,706
376,863
376,715
377,795
378,674
379,836
379,561
380,858
381,278
382,894
383,350
384,965
385,748
386,313
387,346
388,547
389,164
390,529
391,193
392,366
392,513
393,678
394,573
395,293
395,572
396,384
397,507
398,135
399,979
400,578
401,302
402,582
403,802
404,359
404,329
405,548
406,691
406,617
406,131
407,801
408,941
409,451
410,674
411,456
412,852
412,893
413,210
414,524
415,706
416,678
417,760
418,279
419,444
419,838
419,89
420,439
421,132
421,560
422,965
422,112
422,945
422,602
423,744
423,755
424,336
424,424
425,6
425,360
426,706
426,871
427,626
427,40
427,267
428,11
429,462
430,351
430,901
430,962
431,759
431,424
432,686
432,783
433,397
434,203
434,524
435,7
436,728
436,929
437,446
437,346
438,901
438,86
439,892
439,925
440,281
441,268
442,843
443,747
444,251
445,69
446,672
447,550
448,746
448,795
449,186
450,55
451,756
452,725
452,51
453,189
454,556
455,443
456,219
456,291
456,580
456,885
457,116
458,49
458,334
459,713
460,10
461,255
462,2
462,370
463,646
464,879
465,357
466,969
466,80
467,796
468,180
469,34
470,888
470,100
471,331
472,528
473,740
474,148
475,133
476,705
477,469
478,389
479,97
480,249
481,596
481,806
482,455
482,206
483,435
484,703
485,843
486,319
486,91
486,540
487,447
488,971
489,477
490,410
490,147
491,655
491,786
491,946
491,602
491,888
491,528
492,848
492,232
492,79
493,490
494,452
494,29
495,130
496,839
496,507
497,443
498,593
499,567
500,733
501,488
502,314
503,445
504,631
505,546
506,588
506,457
506,256
506,781
507,393
508,901
508,71
508,521
509,184
510,33
510,554
511,137
512,122
512,400
512,693
512,425
513,764
514,718
515,512
516,563
517,345
518,882
519,262
519,180
520,799
521,862
522,308
522,501
522,833
523,10
523,786
524,552
525,528
526,624
526,860
527,360
528,888
528,815
529,485
530,958
531,805
532,758
533,728
534,749
535,114
535,361
536,585
537,578
538,953
539,14
540,969
541,278
542,640
542,238
543,953
544,852
545,6
545,609
546,235
546,879
547,922
548,252
549,236
550,986
551,873
552,614
553,29
554,429
555,888
556,120
557,483
558,582
559,419
559,918
560,461
561,390
562,715
562,359
562,616
563,945
564,172
564,749
565,933
566,809
567,861
568,682
568,828
569,869
570,117
571,826
572,966
573,395
574,942
575,344
576,685
577,95
578,765
579,982
580,258
581,876
582,905
583,871
584,938
584,813
585,65
586,785
587,474
587,371
588,434
589,426
590,590
590,758
590,412
591,911
592,812
593,60
593,697
594,488
594,558
594,180
594,168
594,951
595,907
595,211
595,696
596,387
597,618
598,398
599,929
600,362
601,77
602,50
603,992
604,534
604,930
605,975
606,468
607,171
607,656
608,257
609,310
610,157
611,983
612,891
613,470
614,216
615,786
615,723
616,604
616,66
617,784
618,752
618,919
618,459
619,656
619,187
620,468
621,514
622,265
623,235
624,372
625,542
626,853
627,946
628,459
629,523
630,224
630,28
631,119
632,212
633,336
634,186
634,580
635,455
636,20
636,739
637,872
638,412
638,43
639,470
639,545
639,530
639,854
640,733
641,147
642,836
643,128
644,224
645,248
646,522
647,3
648,550
649,328
649,764
650,687
650,884
650,470
651,741
652,795
653,181
654,735
655,421
656,235
656,184
656,355
657,477
658,268
659,267
660,407
661,28
661,496
661,127
662,825
662,24
663,489
663,552
663,132
664,150
665,802
666,260
667,479
668,726
669,822
670,77
671,813
671,623
671,752
672,450
673,271
674,634
675,328
676,562
677,71
678,72
679,813
679,73
680,567
681,466
681,245
682,832
683,351
684,698
685,802
686,226
687,272
688,640
689,804
689,418
689,335
690,81
691,604
691,634
692,173
693,493
693,144
694,830
694,491
694,405
695,774
695,603
695,343
696,612
696,254
697,3
698,871
699,839
700,354
701,966
702,543
702,323
703,798
704,25
705,990
705,225
705,671
705,382
706,559
707,512
708,54
709,516
710,601
711,632
712,1
713,82
714,564
714,734
715,40
716,671
716,440
717,751
717,644
717,666
718,607
719,285
719,553
720,873
721,832
722,397
723,201
724,388
725,451
725,2
726,752
727,643
727,493
727,190
728,844
729,661
730,538
731,471
731,921
732,206
733,991
734,787
734,159
735,959
735,91
735,267
736,916
737,705
737,21
738,368
739,356
740,222
741,150
742,554
742,452
743,596
744,877
744,937
745,596
746,883
746,15
747,330
747,91
748,737
749,605
750,281
751,423
752,319
753,52
753,390
753,602
753,932
753,560
754,558
755,349
756,804
756,192
756,685
757,253
758,418
759,235
760,643
760,821
761,216
762,801
762,325
763,693
764,657
765,723
766,441
767,614
768,87
769,794
769,954
770,25
771,955
772,365
773,488
774,749
775,747
776,324
777,475
778,950
779,267
779,705
779,590
780,263
781,139
782,19
783,578
