"animalFk","ownersFk"
1,524
2,68
2,197
3,349
4,486
5,102
6,826
7,255
8,45
9,145
10,172
11,905
11,379
11,27
12,907
13,768
14,989
14,781
14,98
15,454
16,903
17,326
17,216
18,361
18,422
18,33
19,593
20,187
21,315
22,10
23,945
24,515
25,756
26,889
27,123
27,287
28,386
29,993
29,879
30,541
31,369
31,177
32,858
33,305
34,532
35,220
36,703
37,353
38,969
39,630
40,504
41,13
42,700
42,749
42,953
43,426
43,208
43,920
43,5
44,891
45,765
46,509
47,522
47,365
47,55
48,859
49,831
50,847
51,104
52,591
52,892
53,40
54,237
55,723
55,682
55,564
55,167
56,263
57,37
58,933
59,257
60,587
61,995
62,798
62,596
63,849
64,557
64,641
65,359
66,870
66,938
67,592
67,226
68,510
69,107
70,760
71,795
72,444
73,171
74,352
74,505
75,735
75,331
76,659
76,388
77,54
78,64
79,519
80,247
81,443
82,232
82,859
82,842
83,984
84,957
85,944
86,714
87,947
88,293
88,701
88,456
88,836
89,968
89,549
90,755
91,622
91,103
92,902
93,426
94,641
95,856
96,485
97,606
97,876
98,881
99,40
100,654
101,215
102,784
103,801
104,831
104,406
105,57
105,939
106,74
107,627
108,654
109,486
110,352
110,856
111,492
112,419
113,843
114,889
115,545
116,869
117,408
117,201
118,486
119,281
119,156
120,564
120,283
121,318
122,476
123,183
124,522
125,485
126,311
127,569
127,224
127,285
128,784
129,840
130,785
130,871
131,989
132,790
133,806
134,581
135,656
136,770
136,795
137,34
138,621
139,651
140,901
140,883
141,511
142,449
142,848
142,458
143,827
143,488
144,22
144,158
145,32
146,373
147,309
148,918
149,68
149,35
150,875
151,875
151,388
152,5
153,403
153,47
153,902
154,856
155,331
156,188
157,776
158,396
159,217
160,924
161,376
162,465
162,885
163,119
163,988
163,861
164,24
164,376
164,564
165,769
166,315
167,255
167,883
167,105
168,152
169,408
170,785
171,283
172,483
173,291
174,888
175,256
176,308
177,704
178,99
179,685
180,717
180,321
180,574
181,866
181,558
182,923
183,811
184,45
185,56
186,309
186,572
187,335
187,47
187,655
188,11
189,149
190,114
191,105
192,927
193,705
194,117
194,407
195,258
196,781
197,296
198,762
199,813
200,922
201,311
202,355
203,669
204,320
204,300
205,758
206,906
207,973
208,303
208,479
209,17
210,297
211,264
212,129
213,806
214,3
215,347
216,511
217,982
217,769
218,858
219,979
220,331
221,577
222,818
223,983
223,576
224,586
224,293
224,292
224,692
225,621
226,498
226,52
227,375
228,818
228,910
229,172
229,553
230,745
231,866
232,16
233,1000
234,33
234,926
235,944
235,365
236,575
237,991
238,499
238,233
239,438
239,446
240,737
240,319
241,678
242,845
243,720
244,490
245,185
246,645
247,931
248,932
249,751
249,680
250,184
251,244
251,696
252,216
253,253
254,621
255,549
256,755
257,108
257,460
257,456
258,650
259,630
260,323
261,194
262,773
263,163
264,92
264,726
265,857
266,494
267,29
268,597
269,852
270,145
270,383
270,477
271,691
272,944
272,506
273,136
274,784
275,739
276,488
277,435
278,881
279,636
280,974
281,817
282,562
283,323
284,851
285,126
286,531
287,428
288,101
289,55
290,960
291,823
292,838
293,94
294,217
295,843
296,187
296,740
296,974
297,517
298,673
298,837
299,407
299,731
299,161
299,247
299,230
299,459
300,584
301,75
302,333
303,838
303,320
304,472
305,961
306,820
307,649
308,288
309,119
309,576
310,593
311,283
311,504
312,719
312,979
312,837
313,698
314,40
315,320
316,349
317,335
318,503
319,476
320,834
320,295
321,722
322,797
322,723
323,798
324,430
325,740
326,604
327,478
328,917
329,794
329,794
330,542
331,933
331,240
332,349
332,575
333,11
333,401
334,13
335,820
336,305
337,152
337,937
338,102
339,95
340,829
340,924
341,882
341,460
342,687
343,928
344,778
345,914
346,47
347,981
348,97
349,278
350,900
351,14
352,929
353,221
354,289
354,674
354,413
355,414
356,932
356,407
357,625
358,58
358,734
359,123
360,940
361,677
362,651
362,611
363,281
364,841
365,995
365,100
365,836
366,357
367,518
368,96
369,580
370,693
370,786
371,466
372,803
373,872
374,548
375,295
376,276
377,526
377,658
378,597
379,443
380,320
381,786
382,258
383,126
383,127
383,876
384,851
385,698
386,124
386,434
387,913
388,691
389,408
390,708
390,144
391,392
392,231
393,507
394,712
394,211
394,870
395,793
395,863
396,815
396,847
397,946
398,782
399,836
400,803
400,703
401,371
401,652
402,669
402,627
403,122
404,89
404,391
404,733
405,309
406,59
407,413
408,974
409,683
410,52
411,921
412,500
413,132
413,78
