"name","breed","sex","shots","declawed","neutered","birthdate"
"Kaitlyn","Ukrainian Levkoy","M",0,1,0,"2018-1-22"
"Asha","Dwelf","U",0,0,1,"2017-12-21"
"Tyreek","British Longhair","U",0,0,0,"2018-5-5"
"Joel","Australian Mist","F",1,0,0,"2018-5-2"
"Katheryn","Raas","M",0,1,0,"2018-4-11"
"Vidal","Donskoy","U",0,0,0,"2018-7-9"
"Garett","Balinese","U",0,0,0,"2017-12-5"
"Adam","American Bobtail","F",0,1,0,"2017-10-17"
"Ricky","Serengeti","F",0,1,1,"2018-5-25"
"Juvenal","Manx","M",0,1,1,"2018-3-9"
"Meagan","Korean Bobtail","M",1,0,1,"2018-1-31"
"Verdie","Highlander","U",0,0,1,"2018-6-21"
"Dovie","Bengal","F",0,1,0,"2017-12-25"
"Derick","Scottish Fold","U",1,0,1,"2017-8-1"
"Shawn","Raas","M",0,1,1,"2018-3-25"
"Laura","Sphynx","F",0,0,0,"2018-1-11"
"Ryleigh","Tonkinese","U",1,1,1,"2017-11-17"
"Kaci","Minskin","M",1,0,1,"2018-5-10"
"Jacquelyn","Highlander","M",1,0,1,"2017-8-4"
"Sammie","Serrade petit","M",1,1,1,"2018-3-23"
"Gay","Khao Manee","U",0,0,1,"2018-5-16"
"Jaden","Arabian Mau","F",1,0,0,"2018-4-18"
"Chadrick","Sphynx","M",1,0,0,"2017-8-31"
"Samanta","Bambino","M",1,1,1,"2018-1-31"
"Francisca","Napoleon","F",0,0,0,"2017-12-24"
"Rebeka","Asian","U",1,1,1,"2018-7-27"
"Braxton","Foldex[5]","F",1,0,0,"2018-4-10"
"Erin","Thai Lilac","U",0,0,0,"2018-1-13"
"Geovany","Oriental Bicolor","U",0,0,0,"2017-12-16"
"Roman","Raas","F",0,0,1,"2017-9-8"
"Gunnar","Cornish Rex","F",1,1,1,"2017-12-27"
"Brielle","Lykoi","M",0,0,1,"2017-10-24"
"Lowell","Persian (traditional)","U",0,0,0,"2017-10-17"
"Vaughn","Somali","U",0,0,0,"2018-3-15"
"Leonel","Oregon Rex","U",0,1,0,"2018-5-29"
"Kenyatta","Himalayan","U",1,1,0,"2017-8-4"
"Joan","Korean Bobtail","F",1,0,0,"2018-4-4"
"Casandra","LaPerm","M",1,1,0,"2018-3-3"
"Tyra","European Shorthair","M",1,0,0,"2018-4-4"
"Dorthy","Norwegian Forest cat","M",1,1,0,"2017-10-2"
"Mabel","Russian White","F",0,1,0,"2017-10-24"
"Payton","Cornish Rex","M",0,0,1,"2018-7-23"
"Arnold","Burmilla","U",1,0,0,"2018-6-6"
"Emma","Cornish Rex","M",1,1,0,"2017-9-13"
"Justyn","Asian","M",0,0,0,"2018-6-8"
"Jadyn","Peterbald","F",1,0,0,"2018-6-13"
"Hertha","Devon Rex","F",0,1,0,"2018-6-22"
"Oral","British Shorthair","F",1,1,0,"2018-7-18"
"Idella","Nebelung","U",1,1,0,"2017-10-18"
"Reyes","Serengeti","U",1,0,0,"2017-11-6"
"Tianna","Aegean","F",0,0,0,"2018-1-3"
"Dayna","Bambino","F",1,0,1,"2018-4-26"
"Cleo","Ragdoll","U",1,0,1,"2017-10-23"
"Gayle","Thai Lilac","F",1,1,0,"2018-4-12"
"Evan","Savannah","F",0,0,1,"2018-5-29"
"Ruthie","Bambino","M",0,0,0,"2017-11-25"
"Owen","European Shorthair","M",1,0,1,"2018-3-27"
"Shaina","Minskin","M",1,0,0,"2017-10-10"
"Hilton","Savannah","M",1,1,1,"2018-7-17"
"Hettie","Japanese Bobtail","M",1,0,0,"2018-5-31"
"Lesley","Khao Manee","F",0,1,1,"2017-11-13"
"Dimitri","Colorpoint Shorthair","U",0,0,0,"2017-11-27"
"Rebeka","Mekong Bobtail","F",0,1,1,"2018-4-4"
"Mertie","Siamese ","F",1,0,0,"2018-3-18"
"Frances","Chausie","U",0,0,1,"2018-4-22"
"Lorenz","American Shorthair","U",1,1,1,"2017-10-2"
"Dannie","Raas","F",0,1,0,"2017-9-27"
"Tyson","Savannah","F",0,0,1,"2018-1-7"
"Dominic","Raas","F",0,0,0,"2018-1-29"
"Candelario","Sam Sawet","M",0,0,1,"2017-8-5"
"Thora","Chartreux","F",0,1,1,"2018-2-15"
"Keanu","Colorpoint Shorthair","M",0,0,1,"2017-9-28"
"Rahul","Nebelung","M",0,1,1,"2017-12-13"
"Vincenzo","Russian Blue","U",1,0,1,"2017-11-30"
"Chase","Savannah","F",1,1,0,"2018-5-18"
"Maybelle","Russian Blue","U",1,1,1,"2018-2-11"
"Magnolia","Raas","F",1,0,0,"2018-5-20"
"Zoila","Foldex[5]","U",0,1,0,"2018-5-25"
"Yvette","Ukrainian Levkoy","F",1,1,0,"2018-5-8"
"Myra","Dwelf","F",1,0,0,"2018-3-12"
"Darien","Sphynx","F",0,0,0,"2018-5-26"
"Jermain","Raas","U",1,1,1,"2017-11-28"
"Trevion","Norwegian Forest cat","U",0,1,1,"2017-8-22"
"Thea","Abyssinian","F",1,0,1,"2018-3-28"
"Marquise","Siberian","U",1,0,1,"2017-11-16"
"Cyrus","York Chocolate","F",1,1,1,"2018-4-23"
"Bradley","German Rex","U",0,1,0,"2017-12-18"
"Abby","German Rex","M",1,1,0,"2018-5-16"
"Moises","Chartreux","M",1,0,0,"2018-5-7"
"William","Asian Semi-longhair","F",0,1,0,"2017-12-9"
"Kobe","Egyptian Mau","U",0,0,0,"2018-1-30"
"Gwen","Sam Sawet","M",1,1,1,"2018-7-9"
"Bernice","Nebelung","U",0,0,1,"2017-7-29"
"Jadyn","Donskoy","F",1,0,1,"2017-12-15"
"Armani","York Chocolate","M",0,0,0,"2018-5-22"
"Denis","Bambino","U",1,0,1,"2018-4-7"
"Misty","Havana Brown","M",1,1,1,"2018-1-6"
"Leopoldo","Oriental Longhair","U",1,0,1,"2018-3-11"
"Sheila","Savannah","M",1,1,1,"2018-4-10"
"Charlie","Himalayan","F",1,1,0,"2018-2-13"
"Sylvia","Donskoy","U",1,0,0,"2018-4-4"
"Andres","Bambino","M",1,0,0,"2018-2-4"
"Oleta","Javanese","F",1,1,1,"2017-9-22"
"Jake","Himalayan","M",1,0,1,"2018-7-21"
"Taurean","American Shorthair","F",0,0,1,"2018-1-7"
"Rhoda","Dragon Li","M",0,1,1,"2017-11-6"
"Giovani","Oregon Rex","U",0,0,1,"2017-10-9"
"Winfield","Pixie-bob","F",0,1,1,"2017-10-12"
"Vernie","Javanese","F",0,0,0,"2017-9-14"
"Drew","Devon Rex","M",1,1,1,"2018-1-6"
"Kattie","Cheetoh","F",1,1,0,"2018-6-10"
"Brain","Russian Blue","U",0,1,1,"2018-6-27"
"Sylvester","German Rex","M",0,1,1,"2017-8-15"
"Adolph","Colorpoint Shorthair","F",1,1,0,"2018-1-30"
"Joan","Thai Lilac","F",0,1,1,"2017-12-13"
"Abbey","Peterbald","M",0,0,1,"2018-6-5"
"Arne","Ragamuffin","F",1,0,0,"2017-12-3"
"Heath","Korn Ja","U",0,1,1,"2017-12-8"
"Heath","Karelian Bobtail","U",0,0,0,"2017-12-11"
"Bud","Aegean","M",1,0,0,"2018-4-1"
"Marley","Russian Blue","F",1,0,1,"2018-2-1"
"Demarco","Bombay","F",0,1,1,"2017-11-11"
"Kadin","Aegean","M",1,1,1,"2018-3-30"
"Paris","Turkish Van","M",1,0,0,"2018-3-16"
"Verlie","Balinese","F",0,0,1,"2018-7-22"
"Walker","Persian (modern)","U",0,1,0,"2018-7-18"
"Carli","Scottish Fold","U",0,1,0,"2017-12-7"
"Levi","Turkish Angora","U",1,1,1,"2017-10-23"
"Justina","Chausie","U",0,0,0,"2017-11-30"
"Enos","Manx","M",1,1,1,"2018-7-23"
"Thora","Oriental Longhair","F",1,0,0,"2017-11-6"
"Clara","Japanese Bobtail","M",0,0,1,"2018-3-6"
"Kenyatta","American Bobtail","F",0,0,1,"2018-2-10"
"Michele","Australian Mist","U",1,0,1,"2018-3-6"
"Evert","Burmilla","F",0,1,1,"2017-11-14"
"Maxie","Korat","F",0,1,0,"2017-12-10"
"Josue","Cheetoh","M",0,1,1,"2017-12-3"
"Alfred","Ukrainian Levkoy","U",1,0,0,"2018-3-2"
"Dessie","Cyprus","M",1,1,1,"2018-2-6"
"Antwon","Napoleon","U",1,1,0,"2018-4-22"
"Marcelle","Aphrodite Giant","F",0,0,1,"2017-12-20"
"Ottis","Foldex[5]","F",0,1,0,"2018-6-12"
"Jeffry","Devon Rex","U",1,1,1,"2018-3-9"
"Kiera","Serrade petit","U",1,1,1,"2018-6-10"
"Schuyler","LaPerm","U",1,1,0,"2018-4-30"
"Jaquelin","Savannah","U",1,1,0,"2018-1-25"
"Matilde","Siberian","M",0,1,1,"2018-7-27"
"Everette","Turkish Van","U",1,0,1,"2018-6-4"
"Destinee","Russian Blue","M",1,0,0,"2018-7-13"
"Broderick","Raas","M",0,0,0,"2018-3-21"
"Geovanny","European Shorthair","F",0,1,0,"2017-9-2"
"Jodie","Suphalak","U",0,0,0,"2018-5-27"
"Ewell","Sokoke","M",1,0,0,"2018-6-18"
"Korey","Minskin","F",0,0,1,"2018-7-13"
"Destini","Balinese","M",1,1,0,"2018-4-4"
"Curt","Russian White","U",0,0,0,"2018-4-25"
"Nova","York Chocolate","F",0,0,0,"2018-5-24"
"Nelda","Thai Lilac","M",0,1,0,"2017-8-19"
"Dana","Oregon Rex","M",1,0,1,"2017-12-15"
"Jaida","Abyssinian","U",0,1,0,"2018-2-23"
"Cleveland","Highlander","F",1,1,0,"2017-10-3"
"Benny","Cyprus","M",1,0,0,"2018-5-29"
"Percival","Javanese","F",0,0,0,"2017-10-22"
"Maverick","Javanese","M",1,1,0,"2018-4-21"
"Hope","Burmilla","F",1,0,0,"2018-3-25"
"Kira","Ragamuffin","M",1,1,0,"2018-7-27"
"Omari","Sphynx","U",1,0,1,"2018-2-15"
"Dane","American Wirehair","M",0,0,1,"2018-5-28"
"Nickolas","Tonkinese","U",1,0,1,"2018-4-28"
"Alfred","Manx","U",1,1,0,"2017-12-7"
"Felicita","Chausie","F",0,1,0,"2017-12-18"
"Jolie","Korn Ja","F",0,0,1,"2017-10-31"
"Brody","Oriental Longhair","F",1,1,1,"2018-3-12"
"Scottie","Selkirk Rex","M",0,1,0,"2017-7-28"
"Darren","Ragamuffin","F",0,1,1,"2018-7-2"
"Jessika","American Curl","M",0,1,0,"2017-11-16"
"Benny","Colorpoint Shorthair","M",0,1,0,"2017-12-24"
"Flossie","Dragon Li","U",1,0,0,"2018-2-4"
"Miller","Korean Bobtail","F",0,1,1,"2017-9-10"
"Jacques","British Semi-longhair","F",1,0,1,"2018-3-17"
"Cali","Donskoy","F",0,0,1,"2017-12-16"
"Kenyatta","Bengal","F",0,1,0,"2017-11-6"
"Montana","American Shorthair","F",0,1,1,"2017-12-17"
"Mark","Asian Semi-longhair","U",1,0,1,"2017-11-16"
"Idell","Havana Brown","U",0,0,1,"2017-11-22"
"Maureen","Peterbald","M",1,0,1,"2017-7-31"
"Lonnie","Ocicat","M",0,0,0,"2018-7-21"
"Corbin","British Shorthair","M",1,0,0,"2017-9-10"
"Lupe","Chausie","F",0,1,0,"2017-11-12"
"Fay","Karelian Bobtail","F",1,1,1,"2018-3-2"
"Bennie","Scottish Fold","U",1,0,1,"2018-3-12"
"Dorcas","Thai Lilac","F",1,1,1,"2017-10-3"
"Pauline","Russian Blue","F",0,1,0,"2018-7-2"
"George","Peterbald","M",1,0,0,"2018-7-10"
"Jenifer","Aphrodite Giant","F",0,0,0,"2018-1-31"
