"name","breed","sex","shots","licensed","neutered","birthdate","weight"
"Adah","Polish Tatra Sheepdog","M",0,0,0,"2018-5-7",84
"Alvina","English Setter","U",0,0,1,"2017-9-28",84
"Jayda","Beagle-Harrier","U",1,0,1,"2018-5-26",17
"Jazmyn","Dachshund","F",1,1,1,"2017-10-12",100
"Jennie","Gaddi Dog","M",0,0,0,"2017-11-15",135
"Finn","Patterdale Terrier","U",1,0,1,"2017-8-30",120
"Liliane","Patterdale Terrier","U",1,1,0,"2018-4-18",44
"Clarabelle","Italian Greyhound","F",0,1,0,"2018-7-19",9
"Montana","Chien-gris","M",0,0,1,"2018-2-8",12
"Cleve","Bolognese","F",0,1,0,"2017-8-5",75
"Jayne","Fox Terrier, Wire","M",0,0,0,"2018-1-28",146
"Lysanne","Basque Shepherd Dog","U",1,0,1,"2018-7-18",144
"Jody","Kyi-Leo","U",0,0,0,"2017-7-30",9
"Isaiah","Elo","F",0,1,1,"2017-10-29",59
"Roderick","Australian Stumpy Tail Cattle Dog[10]","U",0,0,1,"2017-10-29",7
"Annamae","Scotch Collie","M",0,1,1,"2018-4-4",124
"Leon","Toy Manchester Terrier","M",0,0,1,"2018-1-22",25
"Alia","Sabueso fino Colombiano","M",1,1,0,"2017-9-23",135
"Emilio","Lancashire Heeler","U",0,0,1,"2017-12-17",44
"Jess","Catahoula Leopard Dog","U",1,1,1,"2017-11-1",9
"Devan","Drentse Patrijshond","M",0,1,1,"2018-6-21",96
"Mylene","Sapsali","U",0,0,1,"2018-6-13",116
"Dahlia","Kerry Beagle","F",0,0,1,"2018-1-9",16
"Jordan","Podenco Canario","F",1,1,0,"2017-10-1",118
"Will","Bouvier des Flandres","U",0,0,0,"2018-3-14",51
"Emerald","Basenji","U",0,0,0,"2017-12-10",113
"Pauline","Kumaon Mastiff","U",0,1,1,"2017-11-4",37
"Kenyatta","Hovawart","U",1,1,1,"2017-11-30",80
"Daniella","Griffon Fauve de Bretagne","F",1,0,0,"2018-6-30",65
"Lorna","Glen of Imaal Terrier","F",1,0,1,"2018-5-9",112
"Dovie","Hanover Hound","M",1,1,0,"2017-10-16",40
"Cody","Blue Lacy","F",0,0,0,"2017-10-12",116
"Kristopher","Schapendoes","U",0,0,0,"2017-9-30",7
