"name","species","sex","neutered","birthdate"
"Marcellus","Common snapping turtle","M",1,"2018-5-17"
"Damien","Bubal hartebeest","F",0,"2017-8-16"
"Karson","Nile","U",1,"2017-11-4"
"Hermina","Wood duck","U",0,"2018-4-2"
"Cristina","Guppy","M",1,"2017-12-29"
"Conner","African clawed frog","M",0,"2018-5-24"
"Lincoln","Madagascar hissing cockroach","U",0,"2018-6-18"
"Julie","Northern goshawk","F",1,"2017-12-18"
"Virgie","Crimson, Eastern, Western, Green, Pale-headed and Northern rosel","U",0,"2018-2-15"
"Vesta","Crimson, Eastern, Western, Green, Pale-headed and Northern rosel","U",0,"2017-9-26"
"Rylee","Crab-eating frog","U",1,"2018-6-23"
"Javier","Syrian wild ass","U",1,"2017-10-6"
"Delfina","Long-tailed chinchilla","U",0,"2017-10-18"
"Luciano","Guanaco","F",1,"2018-6-4"
"Cleta","Garden snail","M",0,"2018-1-3"
"Rickie","Leopard gecko","U",0,"2018-5-17"
"Charlene","Japanese and great cormorants","U",0,"2018-2-8"
"Luz","Common","F",0,"2018-2-12"
"Kadin","Stingless bees","M",1,"2018-3-19"
"Lois","Bald eagle","U",0,"2018-7-26"
"Daphne","Diamond dove","F",0,"2017-10-25"
"Reyes","Northeastern","M",0,"2018-7-13"
"Brando","Domestic duck","F",1,"2018-6-16"
"Therese","Guanaco","U",1,"2018-5-20"
"Mireille","Axolotl","U",0,"2018-7-18"
"Camila","Madagascar hissing cockroach","U",0,"2017-12-3"
"Simone","Domestic pig","M",0,"2017-12-29"
"Candida","Steppe lemming","U",0,"2018-3-20"
"Jenifer","Chinese hamster","M",1,"2018-3-3"
"Jayson","Koi","M",1,"2017-11-5"
"Gerson","Common carp","F",1,"2018-5-11"
"Sasha","Long-tailed chinchilla","M",0,"2018-7-11"
"Thelma","Domestic pig","M",1,"2017-8-16"
"Brennan","Sika deer","U",1,"2017-11-13"
"Carlos","Fallow deer","F",1,"2018-2-1"
"Damian","Turkish hamster","M",1,"2017-9-3"
"Maggie","Mandarin duck","F",1,"2018-6-9"
"Clinton","North African","U",0,"2018-7-5"
"Omer","Vulturine guineafowl","U",0,"2017-11-2"
"Jeremy","Scimitar oryx","M",1,"2017-11-24"
"Estrella","Coypu","F",1,"2017-12-30"
"Viva","Springbok","F",1,"2017-12-22"
"Rosemary","Barbary sheep","U",0,"2018-1-4"
"Dallin","Eastern bearded dragon","U",1,"2018-4-23"
"Vern","Guanaco","F",1,"2018-7-3"
"Aiden","Patagonian weasel","U",1,"2017-10-9"
"Frances","Chinese softshell turtle","M",1,"2018-4-17"
